SpeciesName,longitude,latitude,Bio1,Bio12,TempMin,TempMax,PrecMin,PrecMax
Amaranthus_cruentus_L.,22.746,41.263,122,479,40,300,300,2800
Amaranthus_cruentus_L.,20.717,42.2,116,861,40,300,300,2800
Amaranthus_cruentus_L.,-86.1,12.85,240,920,40,300,300,2800
Amaranthus_cruentus_L.,8.5,12.467,263,641,40,300,300,2800
Amaranthus_cruentus_L.,21.587,41.887,120,515,40,300,300,2800
Amaranthus_cruentus_L.,21.249,41.369,82,761,40,300,300,2800
Amaranthus_cruentus_L.,22.288,41.383,121,477,40,300,300,2800
Amaranthus_cruentus_L.,21.682,41.841,116,517,40,300,300,2800
Amaranthus_cruentus_L.,21.159,40.906,93,746,40,300,300,2800
Amaranthus_cruentus_L.,21.433,42,119,549,40,300,300,2800
Amaranthus_cruentus_L.,22.133,41.673,124,473,40,300,300,2800
Amaranthus_cruentus_L.,20.782,40.62,98,843,40,300,300,2800
Amaranthus_cruentus_L.,21.355,41.937,106,614,40,300,300,2800
Amaranthus_cruentus_L.,22.353,41.219,119,483,40,300,300,2800
Amaranthus_cruentus_L.,21.675,42.158,115,523,40,300,300,2800
Amaranthus_cruentus_L.,22.727,41.471,135,460,40,300,300,2800
Amaranthus_cruentus_L.,22.567,41.476,114,486,40,300,300,2800
Amaranthus_cruentus_L.,45.711,42,129,669,40,300,300,2800
Amaranthus_cruentus_L.,-97.737,38.808,129,741,40,300,300,2800
Amaranthus_cruentus_L.,23.612,60.662,44,603,40,300,300,2800
Amaranthus_cruentus_L.,24.52,61.353,36,619,40,300,300,2800
Amaranthus_cruentus_L.,24.329,60.97,39,618,40,300,300,2800
Amaranthus_cruentus_L.,24.328,60.972,39,618,40,300,300,2800
Amaranthus_cruentus_L.,24.317,61.118,40,602,40,300,300,2800
Amaranthus_cruentus_L.,31.5,30,209,26,40,300,300,2800
Amaranthus_cruentus_L.,29,25.5,233,0,40,300,300,2800
Amaranthus_cruentus_L.,67.85,29.65,271,141,40,300,300,2800
Amaranthus_cruentus_L.,31.5,26.5,217,1,40,300,300,2800
Amaranthus_cruentus_L.,30.5,25.5,237,0,40,300,300,2800
Amaranthus_cruentus_L.,67.75,30.183,190,276,40,300,300,2800
Amaranthus_cruentus_L.,33,26,242,0,40,300,300,2800
Amaranthus_cruentus_L.,32.5,25.5,246,0,40,300,300,2800
